year,month,state,genus_species,serotypeorgenogroup,status,locationofconsumption,totalill,totalhospitalizations,totaldeaths,foodvehicle,contaminated_ingredient,serialid
1999,November,Washington,,,,Private home,4,0,,"chow mein ; pork, BBQ; pork, other",,87
1999,November,Washington,,,,Restaurant - other or unknown type,4,,,"chicken, nuggets/fingers",Chicken,88
1999,November,Washington,,,,Restaurant - other or unknown type,6,,,,,89
1999,November,Washington,Other viral,,Suspected,Other,6,0,,"sandwich, ham; sandwich, turkey",,90
1999,October,Washington,,,,Restaurant - other or unknown type,2,,,,,91
1999,October,Washington,Bacillus cereus,,Suspected,Restaurant - other or unknown type,2,,,"rice, unspecified",,92
1999,October,Washington,,,,,5,0,,,,93
1999,October,Washington,,,,Restaurant - other or unknown type,3,,,"chicken, unspecified",,94
1999,October,Washington,,,,Restaurant - other or unknown type,2,,,,,95
1999,October,Washington,,,,Other,4,,,"chicken, fried",,96
1999,October,Washington,Hepatitis A,,Confirmed,,35,,,"sandwich, unspecified",,97
1999,September,Washington,,,,Restaurant - other or unknown type,2,,,"beans, unspecified; chicken, smoked",,98
1999,September,Washington,Norovirus,"Genogroup I (GI), non typeable by GI probes",Confirmed,Other,115,,,"leaf lettuce, unspecified; tomato, unspecified",,99
1999,September,Washington,,,,,2,0,,"chicken, unspecified; ethnic style, unspecified",,100
1999,September,Washington,,,,Other,3,,,liquor,,101
1999,September,Washington,,,,,2,,,"sandwich, turkey",,102
1999,September,Washington,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,2,,,"tuna, unspecified",Fin fish,103
1999,September,Washington,,,,Restaurant - other or unknown type,4,0,,"chicken, unspecified; fried rice, unspecified",,104
1999,September,Washington,,,,Private home,4,,,"pizza, unspecified",,105
1999,September,Washington,Other viral,,Suspected,Other,2,,,"ground beef, unspecified",,106
1999,September,Washington,,,,Private home,10,,,"chicken, unspecified; potato, mashed",,107
1999,September,Washington,,,,Restaurant - other or unknown type,4,,,"beans, unspecified; rice, unspecified",,108
1999,August,Washington,Clostridium perfringens,,Suspected,Other,30,,,"beans, baked",,109
1999,August,Washington,Clostridium perfringens,,Suspected,Other,11,,,,,110
1999,August,Washington,,,,Private home,2,,,"pie, merengue",,111
1999,August,Washington,,,,Restaurant - other or unknown type,2,0,,"salad, unspecified",,112
1999,August,Washington,,,,Restaurant - other or unknown type,3,,,,,113
1999,August,Washington,,,,,2,,,,,114
1999,August,Washington,,,,Restaurant - other or unknown type,3,,,"sandwich, turkey",,115
1999,July,Washington,Vibrio parahaemolyticus,,Suspected,Private home,3,,,"oysters, unspecified",,116
1999,July,Washington,,,,Private home,3,0,,"potato, mashed",,117
1999,July,Washington,Salmonella enterica,Hadar,Confirmed,,3,,,"eggs, unspecified",,118
1999,July,Washington,,,,Restaurant - other or unknown type,2,0,,"soup, beef-based",,119
1999,July,Washington,,,,,41,,,"sandwich, other vegetable",,120
1999,July,Washington,Salmonella enterica,,Suspected,"Workplace, not cafeteria",2,,,"eggs, unspecified",,121
1999,June,Washington,,,,Private home,4,,,,,122
1999,June,Washington,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home,5,2,,,,123
1999,June,Washington,,,,Restaurant - other or unknown type,17,0,,"chicken, unspecified",,124
1999,June,Washington,,,,Other,16,,,"turkey, unspecified",,125
1999,June,Washington,,,,,3,0,,"beef, unspecified; chicken, unspecified",,126
1999,June,Washington,Salmonella enterica,,Confirmed,Restaurant - other or unknown type,2,0,,"chicken, unspecified",,127
1999,June,Washington,Campylobacter unknown,,Confirmed,Private home,2,,,"other milk, unpasteurized",,128
1999,May,Washington,,,,Restaurant - other or unknown type,2,0,,"ethnic style, unspecified",,129
1999,May,Washington,,,,Restaurant - other or unknown type,2,,,"chicken, unspecified; noodles, unspecified; pork, unspecified",,130
1999,May,Washington,,,,Restaurant - other or unknown type,2,,,chow mein ; pork fried rice,,131
1999,May,Washington,,,,Other,4,0,,"sandwich, beef",,132
1999,April,Washington,Other viral,,Suspected,"Nursing home, assisted living facility, home care",25,,,,,133
1999,April,Washington,Other viral,,Suspected,Restaurant - other or unknown type,50,,,"cabbage, unspecified",,134
1999,April,Washington,Other viral,,Suspected,Private home,30,,,,,135
1999,April,Washington,,,,Restaurant - other or unknown type,4,,,"ethnic style, unspecified",,136
1999,March,Washington,,,,Restaurant - other or unknown type,2,,,"gravy, unspecified",,137
1999,March,Washington,Other viral,,Suspected,Restaurant - other or unknown type,18,,,"salad, unspecified",,138
1999,March,Washington,,,,Restaurant - other or unknown type,3,,,"pizza, meat",,139
1999,March,Washington,,,,Restaurant - other or unknown type,6,,,"chicken, fried; potato, mashed",,140
1999,March,Washington,,,,Restaurant - other or unknown type,3,,,"beef, unspecified",,141
1999,March,Washington,Other chemical,,Suspected,Restaurant - other or unknown type,3,,,"pizza, unspecified",,142
1999,March,Washington,,,,Other,10,,,"pizza, unspecified",,143
1999,February,Washington,,,,Restaurant - other or unknown type,3,,,black beans and rice,,144
1999,February,Washington,,,,Private home; Restaurant - other or unknown type,6,1,,"ethnic style, unspecified",,145
1999,February,Washington,Other viral,,Suspected,,9,,,,,146
1999,February,Washington,,,,Restaurant - other or unknown type,3,,,"chicken, unspecified",,147
1999,February,Washington,,,,Restaurant - other or unknown type,2,,,"egg-in-muffin-style sandwich; eggs, unspecified",Eggs,148
1999,February,Washington,,,,Private home,3,,,"chicken, unspecified",,149
1999,February,Washington,Other bacterial,,Suspected,Restaurant - other or unknown type,3,,,"chicken, tandori; vegetable soup, unspecified",,150
1999,February,Washington,,,,Restaurant - other or unknown type,3,,,"salad, unspecified",,151
1999,February,Washington,Other viral,,Suspected,Restaurant - other or unknown type,5,,,ice,,152
1999,January,Washington,,,,Restaurant - other or unknown type,8,,,"ethnic style, unspecified",,153
1999,January,Washington,,,,,3,0,,"beef, unspecified",,154
1999,January,Washington,Staphylococcus aureus,,Suspected,Restaurant - other or unknown type,3,,,"ham, unspecified",,155
1999,January,Washington,Norovirus,,Suspected,Restaurant - other or unknown type,27,,,unspecified fruit,,156
1999,January,Washington,,,,Restaurant - other or unknown type,2,0,,"egg rolls; fried rice, unspecified; seafood, unspecified",,157
1999,January,Washington,Bacillus cereus,,Suspected,,61,,,"salmon, unspecified; sauces, unspecified",,158
1998,September,Vermont,Salmonella enterica,Enteritidis,Confirmed,Other,4,0,0,,,159
1999,September,Vermont,Hepatitis A,,Confirmed,Picnic; Restaurant - other or unknown type,12,2,0,,,160
1998,December,Vermont,,,,Restaurant - other or unknown type,33,,0,,,161
1998,May,Virginia,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home,8,,,"ground beef, hamburger",,162
1998,May,Virginia,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,Private home,5,,,"ground beef, hamburger",,163
1999,October,Virginia,Staphylococcus aureus,,Suspected,"Church, temple, etc; Restaurant - other or unknown type",26,0,0,"ham, unspecified",,164
1999,September,Virginia,Clostridium perfringens,,Suspected,Other,8,0,0,"beef, stew",,165
1999,July,Virginia,Norovirus,,Confirmed,Other,33,,0,"croissants; ham, unspecified",,166
1999,June,Virginia,,,,Other,16,0,0,,,167
1999,May,Virginia,Salmonella enterica,Muenchen,Confirmed,Restaurant - other or unknown type,22,,0,"chicken, other",,168
1999,May,Virginia,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,177,8,0,"french toast, unspecified; ham, unspecified; pork, bacon",Eggs,169
1999,May,Virginia,Norovirus,,Confirmed,Restaurant - other or unknown type,49,0,0,mixed fruit,,170
1999,January,Virginia,Norovirus,,Suspected,Restaurant - other or unknown type,25,,,"salad, unspecified",,171
1999,December,Utah,Salmonella enterica,Enteritidis,Confirmed,Private home,3,0,0,"ice cream, unspecified",Eggs,172
1999,December,Utah,Salmonella enterica,Enteritidis,Confirmed,Day care center; School,59,,,,,173
1999,November,Utah,Salmonella enterica,Enteritidis,Confirmed,Private home,4,0,0,"ice cream, homemade",Eggs,174
1999,June,Utah,Salmonella enterica,Enteritidis,Confirmed,"Fair, festival, temporary mobile service; Picnic",256,0,0,"ice cream, unspecified",Eggs,175
1999,October,Texas,,,,Restaurant - other or unknown type,10,,,,,176
1999,September,Texas,Hepatitis A,,Confirmed,School,4,,,,,177
1999,September,Texas,Shigella sonnei,,Confirmed,Day care center,5,,,,,178
1999,August,Texas,Shigella sonnei,,Confirmed,Day care center,46,,,,,179
1998,October,Texas,Hepatitis A,,Confirmed,,29,,,strawberries,,180
1998,September,Texas,Vibrio parahaemolyticus,,Suspected,,8,,,"oysters, raw",,181
1998,August,Texas,,,,,7,,,"seafood, unspecified",,182
1998,August,Texas,,,,,60,,,,,183
1998,August,Texas,,,,,8,,,,,184
1998,August,Texas,Staphylococcus aureus,,Confirmed,,225,,,ham salad,,185
1998,July,Texas,,,,,3,,,,,186
1998,July,Texas,,,,,6,,,,,187
1998,July,Texas,,,,,19,,,,,188
1998,July,Texas,,,,,4,,,,,189
1998,June,Texas,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,,23,,,"hot dog, unspecified",,190
1998,June,Texas,Salmonella enterica,Typhimurium,Confirmed,,20,,,,,191
1998,June,Texas,,,,Restaurant - other or unknown type,2,,,,,192
1998,June,Texas,,,,,2,,,,,193
1998,May,Texas,,,,,5,,,,,194
1998,May,Texas,,,,School,141,,,,,195
1998,May,Texas,Clostridium perfringens,,Confirmed,,50,,,"beef, brisket; sausage, unspecified",,196
1998,April,Texas,Other bacterial,,Suspected,Restaurant - other or unknown type,18,,,,,197
1998,April,Texas,,,,,15,,,"beef, brisket",,198
1998,April,Texas,,,,,2,,,,,199
1998,March,Texas,Other viral,,Suspected,,78,,,,,200
1998,February,Texas,,,,,2,,,,,201
1998,February,Texas,,,,Camp,5,,,,,202
1998,February,Texas,Staphylococcus aureus,,Suspected,Restaurant - other or unknown type,22,,,"soup, chicken",,203
1998,January,Texas,Staphylococcus aureus,,Suspected,,218,,,turkey salad,,204
1999,June,Texas,"E.coli, Shiga toxin-producing",O111,Confirmed,Camp,55,,0,,,205
1999,October,Texas,Clostridium perfringens,,Confirmed,Other,34,,,"turkey, unspecified",,206
1999,November,Texas,,,,School,55,,,"nachos, unspecified",,207
1999,September,Texas,Yersinia enterocolitica,,Confirmed,"Workplace, not cafeteria",32,,,"pork, unspecified",,208
1999,July,Texas,Hepatitis A,,Confirmed,Day care center; Restaurant - other or unknown type,76,,,,,209
1999,July,Texas,,,,Camp,75,,,,,210
1999,July,Texas,Salmonella enterica,Javiana,Confirmed,Restaurant - other or unknown type,7,7,0,"chicken, unspecified",Chicken,211
1999,May,Texas,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,,10,,,"BBQ, unspecified",,212
1999,April,Texas,Norovirus,,Suspected,Other,81,,,"chicken, unspecified",,213
1999,March,Texas,Hepatitis A,,Confirmed,Restaurant - other or unknown type,57,,,,,214
1999,March,Texas,Hepatitis A,,Confirmed,Restaurant - other or unknown type,121,,,,,215
1998,May,Tennessee,Salmonella enterica,Baildon,Confirmed,Restaurant - other or unknown type,264,12,0,"salad, unspecified",,216
1999,December,Tennessee,Bacillus cereus,,Suspected,Private home,56,,,"steak, other",Beef,217
1999,November,Tennessee,Norovirus,"Genogroup II  (GII) , non typeable by GII probes",Confirmed,Other,42,0,0,mixed fruit,,218
1999,April,Tennessee,"E.coli, Shiga toxin-producing",O157:H7,Confirmed,School,30,2,0,,,219
1999,June,Tennessee,Staphylococcus aureus,,Suspected,"Church, temple, etc",7,0,0,,,220
1999,November,Tennessee,,,,Restaurant - other or unknown type,11,0,0,,,221
1999,May,Tennessee,Norovirus,,Confirmed,Restaurant - other or unknown type,4,0,0,,,222
1999,March,Tennessee,Staphylococcus aureus,,Confirmed,School,50,0,0,"taco, unspecified",Beef,223
1999,July,Tennessee,,,,Restaurant - other or unknown type,21,3,0,"pork, unspecified",,224
1999,April,Tennessee,Staphylococcus aureus,,Confirmed,"Church, temple, etc",19,0,0,"spaghetti, unspecified",,225
1998,July,South Dakota,Campylobacter jejuni,,Confirmed,Private home,6,1,0,"other milk, unpasteurized",,226
1998,May,South Dakota,,,,Restaurant - other or unknown type,10,0,0,"gravy, unspecified; hot dog, unspecified; roast beef, unspecified",,227
1998,December,South Carolina,Staphylococcus aureus,,Confirmed,Other,35,,0,"deli meat, sliced ham; deli meat, sliced turkey",,228
1998,December,South Carolina,Staphylococcus aureus,,Confirmed,Other,12,1,0,"pork, BBQ",,229
1999,May,South Carolina,,,,Restaurant - other or unknown type,17,,,,,230
1999,April,South Carolina,,,,School,15,,,,,231
1999,August,Rhode Island,,,,Restaurant - other or unknown type,33,0,0,,,232
1999,May,Rhode Island,,,,Restaurant - other or unknown type,56,1,0,mesclun mix salad,,233
1999,November,Pennsylvania,,,,Restaurant - other or unknown type,12,0,0,,,234
1999,December,Pennsylvania,,,,Private home,10,,,"potato salad; turkey, unspecified",,235
1999,December,Pennsylvania,,,,Private home,4,1,0,,,236
1999,December,Pennsylvania,,,,Restaurant - other or unknown type,12,,,,,237
1999,December,Pennsylvania,,,,Other,44,0,0,"green beans, unspecified; ice cream, unspecified; water",,238
1999,December,Pennsylvania,,,,Restaurant - other or unknown type,10,0,0,"cake, custard-filled; vegetable dip, unspecified; zucchini, unspecified",,239
1999,December,Pennsylvania,,,,Restaurant - other or unknown type,6,0,0,,,240
1999,November,Pennsylvania,,,,Restaurant - other or unknown type,7,0,0,,,241
1999,November,Pennsylvania,Clostridium perfringens,,Confirmed,Restaurant - other or unknown type,125,1,0,"gravy, unspecified; turkey, unspecified",Sauces/ Dressings,242
1999,November,Pennsylvania,Salmonella enterica,Enteritidis,Confirmed,Private home,16,4,,"stuffing, unspecified",,243
1999,November,Pennsylvania,Clostridium perfringens,,Confirmed,Restaurant - other or unknown type,3,0,0,,,244
1999,November,Pennsylvania,Clostridium perfringens,,Suspected,Other,32,0,0,"roast beef, unspecified",,245
1999,October,Pennsylvania,,,,Other,34,0,0,,,246
1999,October,Pennsylvania,,,,"Church, temple, etc",85,1,0,,,247
1999,September,Pennsylvania,,,,,5,0,0,"bread, unspecified; garlic, unspecified; pizza, unspecified",,248
1999,September,Pennsylvania,Salmonella enterica,Stanley,Confirmed,,6,0,0,,,249
1999,August,Pennsylvania,Salmonella enterica,Enteritidis,Confirmed,Restaurant - other or unknown type,8,1,0,,,250
1999,August,Pennsylvania,Norovirus,,Suspected,School,14,,,"green pea salad; roast beef, unspecified; tomato, unspecified",,251
1999,August,Pennsylvania,Clostridium perfringens,,Confirmed,Picnic,24,1,0,"liquor; roast beef, unspecified",Beef,252
1999,July,Pennsylvania,Staphylococcus aureus,,Confirmed,,3,,,,,253
1999,June,Pennsylvania,,,,Day care center,23,,,,,254
1999,June,Pennsylvania,,,,Restaurant - other or unknown type,15,,,,,255
1999,June,Pennsylvania,Staphylococcus aureus,,Suspected,Hospital,6,0,0,,,256
1999,June,Pennsylvania,Salmonella enterica,Typhimurium,Confirmed,Private home,4,2,0,,,257
1999,June,Pennsylvania,,,,Other,11,0,0,,,258
1999,May,Pennsylvania,,,,Picnic,33,,0,,,259
1999,May,Pennsylvania,Norovirus,,Suspected,Private home; Restaurant - other or unknown type,54,,,,,260
1999,May,Pennsylvania,Salmonella enterica,Heidelberg,Confirmed,Private home,25,,,caesar salad,,261
1999,May,Pennsylvania,,,,School,13,,,,,262
1999,May,Pennsylvania,Norovirus,,Suspected,School,21,,,,,263
1999,May,Pennsylvania,Norovirus,,Suspected,Other,10,0,0,,,264
1999,May,Pennsylvania,,,,Other,28,,,,,265
1999,April,Pennsylvania,Norovirus,,Suspected,Restaurant - other or unknown type,43,0,0,fruit salad,,266
1999,April,Pennsylvania,Other viral,,Suspected,Restaurant - other or unknown type,16,,,"sandwich, other specialty",,267
1999,April,Pennsylvania,Clostridium perfringens,,Confirmed,Camp,31,0,0,"hot dog, unspecified",,268
1999,March,Pennsylvania,Norovirus,,Suspected,Hospital,9,0,0,,,269
1999,March,Pennsylvania,Norovirus,,Suspected,Hospital,8,0,0,,,270
1999,February,Pennsylvania,Salmonella enterica,Hadar,Confirmed,Other,104,5,0,"chicken, baked",Chicken,271
1998,October,Oregon,Salmonella enterica,Stanley,Confirmed,School,6,,,,,272
1998,September,Oregon,Shigella sonnei,,Confirmed,Restaurant - other or unknown type,5,,,,,273
1998,July,Oregon,Vibrio parahaemolyticus,,Confirmed,,2,,,"oysters, raw",,274
1999,June,Oregon,Norovirus,,Confirmed,Restaurant - other or unknown type,55,0,0,,,275
1998,December,Oregon,Scombroid toxin,,Confirmed,Restaurant - other or unknown type,2,0,0,unspecified fish,Fin fish,276
1998,November,Oregon,Campylobacter jejuni; Salmonella enterica,Typhimurium,Confirmed; Suspected,Private home,22,1,0,"turkey, unspecified",,277
1998,December,Oregon,Norovirus,,Suspected,Private home,9,0,0,"oysters, raw",,278
1998,August,Oregon,,,,School,42,0,0,,,279
1998,July,Oregon,,,,Private home,150,0,0,"beef, BBQ",,280
1998,May,Oregon,,,,Restaurant - other or unknown type,20,0,0,,,281
1998,April,Oregon,,,,Restaurant - other or unknown type,16,0,0,"pork fried rice; pork, BBQ",,282
1998,February,Oregon,,,,Private home,4,0,0,"oysters, fried",Shellfish,283
1998,February,Oregon,Norovirus,,Suspected,"Nursing home, assisted living facility, home care",29,2,0,,,284
1998,January,Oregon,Shigella flexneri,,Confirmed,Private home,2,,,,,285
1998,January,Oregon,Salmonella enterica,Typhimurium,Confirmed,,8,0,0,"homemade cheese, unspecified",,286
1998,October,Oregon,Shigella sonnei,,Confirmed,School,57,0,0,,,287
1998,May,Oregon,,,,Restaurant - other or unknown type,9,0,0,,,288
1998,March,Oregon,Norovirus,,Suspected,Restaurant - other or unknown type,28,1,0,,,289
1998,July,Oregon,,,,Other,36,0,0,"deli meat, sliced ham; deli meat, sliced turkey; other cheese, unspecified",,290
1998,July,Oregon,,,,Private home,8,1,0,,,291
1999,January,Oregon,Norovirus,,Confirmed,Private home,11,0,0,potato salad,,292
1999,December,Oregon,Norovirus,,Confirmed,Private home,8,0,0,"brie, unspecified; cocktail sauce, unspecified",,293
1999,December,Oregon,Norovirus,,Confirmed,Private home,12,0,0,"cake, cheese",,294
1999,December,Oregon,Norovirus,,Confirmed,Other,22,0,0,,,295
1999,September,Oregon,Clostridium perfringens,,Suspected,"Workplace, not cafeteria",39,,,,,296
1999,September,Oregon,,,,"Fair, festival, temporary mobile service",11,0,0,,,297
1999,September,Oregon,Clostridium perfringens,,Confirmed,"Workplace, not cafeteria",87,0,0,"chicken, baked; tamale, unspecified",,298
1999,September,Oregon,Norovirus,GII / undefined cluster by sequence,Confirmed,"Nursing home, assisted living facility, home care",45,0,0,,,299
1999,August,Oregon,Norovirus,,Confirmed,Restaurant - other or unknown type,10,0,0,,,300
